"","Date","Czechia","Denmark","Estonia","Finland","France","Germany","Greece","Ireland","Lithuania","Poland","Spain","United Kingdom"
"3",2021-12-10,-0.274941594445005,-0.0409228031056344,-0.0865785062822967,0.133800316203433,0.0467212881524134,-0.158119249168991,-0.176657402540856,-0.00732662236939089,-0.0936324525991993,-0.117575021252092,0.0757893967416058,-0.060227604006677
"4",2021-12-11,-0.263030772130419,-0.036385312187243,-0.0852939214606294,0.157538116033945,0.0480824413560156,-0.15637391966603,-0.164889830443915,-0.00507809018393382,-0.0944448343594269,-0.117723926916077,0.0769154914527481,-0.0319273389241679
"5",2021-12-12,-0.249200129379263,-0.0306702541499471,-0.0832683829915202,0.180852023689946,0.0491109241996042,-0.15427235253445,-0.152523690582708,-0.00218359124205118,-0.0951634977897695,-0.117096480293067,0.0795867936323932,0.000486491882371805
"6",2021-12-13,-0.233354414561368,-0.0239797561486271,-0.0801133707231141,0.201094594000856,0.0496366990440276,-0.151288587342706,-0.138569852807397,0.000907775359973227,-0.0958647967508333,-0.116849112155304,0.082146462747994,0.03178591436718
"7",2021-12-14,-0.217531871273463,-0.0172567986134909,-0.0771227102135121,0.219054818637153,0.0503988971066724,-0.1480283634216,-0.124380068068925,0.00380298941192038,-0.0955069993052441,-0.117163476079321,0.0846021729217994,0.0636127030643067
"8",2021-12-15,-0.202319090342911,-0.0093300277809229,-0.0746126028314546,0.233633368009736,0.0503874025249264,-0.145086399029604,-0.10833719486946,0.00692498737454543,-0.0950346442497282,-0.116971989360709,0.0886240948325905,0.0966588067522792
"9",2021-12-16,-0.185851400397349,-0.00164893698104932,-0.070983622780904,0.243897979530158,0.0499905111077666,-0.142246761239734,-0.0921387942009049,0.0104182215422953,-0.0939375083346946,-0.117258823615297,0.093096719343551,0.127356580839599
"10",2021-12-17,-0.169032183795724,0.00761759492476086,-0.0664248200823436,0.250160731140413,0.0495594649083127,-0.139370953708385,-0.0758486656089816,0.0136292020943511,-0.0923120995509615,-0.117718769348061,0.0986072900909246,0.157201356796314
"11",2021-12-18,-0.154001925758615,0.0163163228620104,-0.0628399301365928,0.253689226354034,0.0491866753984447,-0.136376263621633,-0.0587091981478342,0.0168048097399033,-0.0969485044021472,-0.117914368902351,0.103882954419909,0.184316900232167
"12",2021-12-19,-0.140246108802953,0.0240840722729929,-0.058883814608359,0.252132777490006,0.0485139215069979,-0.132394113163307,-0.0413982099458412,0.0198412961648922,-0.103583243446558,-0.11810961973952,0.109986724287243,0.207464468483979
"13",2021-12-20,-0.131045892366953,0.0321808793153309,-0.0538313107747965,0.245887423385803,0.0475738256320896,-0.12852031717324,-0.0250020153824145,0.0226168892822759,-0.100206637854921,-0.118199307446185,0.116290300880948,0.227478448434936
"14",2021-12-21,-0.125429813112319,0.0402041198705322,-0.0482334415477435,0.235335725164934,0.0470213620395722,-0.124981912746519,-0.00844921972184766,0.0256592357304878,-0.0971937587747025,-0.11823404566969,0.122627483313808,0.243777714561174
"15",2021-12-22,-0.124826114872479,0.0470358359419839,-0.0421479493256687,0.221975378733766,0.0464625256022267,-0.121530047634637,0.00736449662287434,0.027553580696535,-0.0935048002446975,-0.117865879227925,0.129227718479139,0.25448497119455
"16",2021-12-23,-0.127763776226261,0.053885887811999,-0.035871980574012,0.205203559875861,0.045595729129173,-0.118150246944088,0.0228930946856972,0.0295566560168044,-0.089690576770207,-0.117799129315184,0.135963709013447,0.260509510009761
"17",2021-12-24,-0.135265865214212,0.0595014913213341,-0.0293566665018486,0.183673453810483,0.0446365598184011,-0.11480090248836,0.037265344696463,0.0309297016859717,-0.0850014251864122,-0.116812476815708,0.14295363535802,0.261051080435745
"18",2021-12-25,-0.146687452626073,0.0642685138591928,-0.0237720437717914,0.159952546762525,0.0436454396384994,-0.111367561917871,0.0506843465107217,0.0322116939180822,-0.0804464381480557,-0.116105138909758,0.14925603797044,0.256784892508994
"19",2021-12-26,-0.161372954879176,0.0683312736934174,-0.0170106615524512,0.134745439776054,0.0424913599313534,-0.107748328952023,0.0633853462932773,0.032822578866038,-0.0752451000014069,-0.114821078735548,0.15427437341947,0.247168551241679
"20",2021-12-27,-0.180227114911974,0.0719830153902548,-0.0106095994407093,0.109859131667502,0.0412101625730669,-0.104306151870751,0.074343540881376,0.0330310132962396,-0.0699888637019085,-0.113385321582075,0.159443017334374,0.232910113135557
"21",2021-12-28,-0.197199384075383,0.0744206191469633,-0.00409109802618491,0.0849312009671689,0.0404202958907675,-0.101048988116366,0.0844743436994577,0.0326295641614737,-0.0646805957606119,-0.11193572907895,0.162994385544498,0.214536484388758
"22",2021-12-29,-0.2170779971018,0.076229703947175,0.00296040933811045,0.0602495984188115,0.0398289699549562,-0.097779679675323,0.0931714086299364,0.0317026494875913,-0.0595267000591507,-0.110083367685253,0.166239464271231,0.192727008912752
"23",2021-12-30,-0.233386428067989,0.0773492666257856,0.00911461104565082,0.0370997209210121,0.0391420961029843,-0.09443630761973,0.100312841672421,0.0302706627713261,-0.0531924395250167,-0.108025305134972,0.167690679498605,0.168848062699682
"24",2021-12-31,-0.249129348914412,0.0770487702954982,0.015314363398862,0.0143573850468712,0.0391448336826129,-0.0909744025241657,0.105978385845644,0.0288392222327922,-0.0457473132791303,-0.105498508486459,0.167496895305863,0.143212944088098
